name,age,birthcity,birthcountry,top_number,profession,grade,no_opinions,no_awards,no_nominations,known_for,best_roles,newest_productions
Chris Evans ,41,Massachusetts,USA ,108,aktorzy,"8,4",77 632,5,38,"Kapitan Ameryka: Wojna bohaterów,Avengers 3D,Avengers: Czas Ultrona","Jimmy,Bryce,Mike Weiss","Jekyll,Szary człowiek,Nie patrz w górę"
Matt Damon ,52,Massachusetts,USA ,56,scenarzyści,"8,1",76 845,9,65,"Marsjanin,Szeregowiec Ryan,Infiltracja","Tom Ripley,Will Hunting,Carroll Shelby","Oppenheimer,Thor: Miłość i grom,Ostatni pojedynek"
Kevin Spacey ,63,New Jersey,USA ,14,aktorzy,"8,8",74 587,19,40,"Siedem,Podejrzani,House of Cards","Jack Vincennes,Dr David Gale,Prot","Gore,Klub miliarderów,House of Cards"
Jack Nicholson ,85,New Jersey,USA ,2,aktorzy,"9,0",74 721,48,42,"Lepiej być nie może,Lśnienie,Infiltracja","Melvin Udall,J. J. 'Jake' Gittes,Płk. Nathan R. Jessup","Skąd wiesz?,Choć goni nas czas,Infiltracja"
Ralph Fiennes ,60,Anglia,Wielka Brytania ,47,aktorzy,"8,6",72 652,9,43,"The Hurt Locker. W pułapce wojny,Wierny ogrodnik,Kropla słońca","Pan Gustave H.,Ignatz Sonnenschein / Adam Sors / Ivan Sors,Amon Goeth","The Menu ,Brideshead Revisited,The Return"
Ryan Reynolds ,46, Vancouver,Kanada ,108,aktorzy,"8,4",71 730,8,33,"Deadpool,Amityville,Zielona Latarnia","Andrew Paxton,Michael Bryce,Guy","Deadpool 3,Projekt Adam,Czerwona nota"
Margot Robbie ,32, Gold Coast,Australia ,5,aktorki,"8,6",72 372,8,41,"Legion samobójców,Jestem najlepsza. Ja, Tonya,Ptaki Nocy (i fantastyczna emancypacja pewnej Harley Quinn)","Jess,Tonya Harding,Naomi Lapaglia","Ruin,Barbie,Gotham City Sirens"
Hugh Jackman ,54, Sydney,Australia ,43,aktorzy,"8,6",71 893,5,44,"Logan: Wolverine,Nędznicy,X-Men Geneza: Wolverine","Jean Valjean,Keller Dover,P.T. Barnum","Enzo Ferrari,Reminiscencja,Zła edukacja"
Cezary Pazura ,60, Tomaszów Mazowiecki,Polska ,322,aktorzy,"8,0",64 746,6,9,"Tato,Weekend,Kroll","Kapral Edward Wiaderny,Podporucznik Waldemar Morawiec ""Nowy"",Fred","Tajemnica zawodowa,Fuks 2,Nie cudzołóż i nie kradnij"
Natalie Portman ,41, Jerozolima,Izrael ,12,aktorki,"8,5",87 103,18,51,"Czarny łabędź,W jak wendeta,Gwiezdne wojny: Część II - Atak klonów","Matylda,Nina Sayers,Jackie Kennedy","We Are All Completely Beside Ourselves,Thor: Miłość i grom,The Days of Abandonment"
Edward Norton ,53,Massachusetts,USA ,17,aktorzy,"8,8",85 348,12,32,"Lęk pierwotny,Birdman czyli (Nieoczekiwane pożytki z niewiedzy),Więzień nienawiści","Aaron Stampler / Roy,Jack / Brian,Derek Vinyard","Extrapolations,Kurier Francuski z Liberty, Kansas Evening Sun,Osierocony Brooklyn"
Joaquin Phoenix ,48, San Juan,Portoryko ,1,aktorzy,"9,2",85 811,14,48,"Gladiator,Joker,Mistrz","Freddie Quell,Kommodus,Johnny","Kitbag,Disappointment Blvd.,C'mon C'mon"
Clint Eastwood ,92,Kalifornia,USA ,39,reżyserzy,"8,9",65 424,36,69,"Gran Torino,Bez przebaczenia,Snajper","Bezimienny rewolwerowiec,William ""Bill"" Munny,Bezimienny rewolwerowiec ""Blondas""","Cry Macho,Przemytnik,Snajper"
Matthew McConaughey ,53,Teksas,USA ,28,aktorzy,"8,7",81 963,16,26,"Witaj w klubie,Magic Mike,Detektyw","Cooper,Kenny Wells,Ron Woodroof","Fast Times at Ridgemont High Table Read,Przynęta,Plażowy haj"
Harrison Ford ,80,Illinois,USA ,55,aktorzy,"8,6",81 913,6,19,"Gwiezdne wojny IV - Nowa nadzieja,Indiana Jones: Poszukiwacze zaginionej Arki,Gwiezdne wojny: Przebudzenie Mocy","William Jones,Dr Richard Kimble,Doktor Richard Walker","Untitled Indiana Jones Project,Zew krwi,Gwiezdne wojny: Skywalker. Odrodzenie"
Alan Rickman ,76,Anglia,Wielka Brytania ,5,aktorzy,"8,9",79 419,9,15,"Szklana pułapka,Robin Hood: Książę złodziei,Rasputin",Pułkownik Christopher Brandon,"Niewidzialny wróg,Odrobina chaosu,Kamerdyner"
Cate Blanchett ,53, Melbourne,Australia ,13,aktorki,"8,5",79 167,45,74,"Blue Jasmine,Władca Pierścieni: Drużyna Pierścienia,Aviator","Jasmine,Bob Dylan / Jude,Elżbieta I","Disclaimer,Brideshead Revisited,Zaułek koszmarów"
Will Smith ,54,Pensylwania,USA ,134,aktorzy,"8,3",78 379,26,68,"Jestem legendą,W pogoni za szczęściem,Faceci w czerni","Robert Neville,Ben Thomas,Chris Gardner","I Am Legend 2,Hancock 2,Colossus"
Dwayne Johnson ,50,Kalifornia,USA ,126,producenci,"7,9",48 665,12,45,"Jumanji: Przygoda w dżungli,Mumia powraca,Agent i pół","Sean Porter,Joe Kingman,Spencer Strasmore","Doc Savage,Arabian Nights,San Andreas 2"
