,name,age,birthcity,birthcountry,grade,no_opinions,no_awards,no_nominations,top_number,profession,known_for_list,three_best_roles,newest_productions
27,Natalie Portman ,41.0, Jerozolima,Izrael ,"8,5",87 065,18.0,51.0,12.0,aktorki,"['Czarny łabędź', 'W jak wendeta', 'Gwiezdne wojny: Część II - Atak klonów']","['Nina Sayers', 'Matylda', 'Jackie Kennedy']","['We Are All Completely Beside Ourselves', 'Thor: Miłość i grom', 'The Days of Abandonment']"
28,Edward Norton I,53.0,Massachusetts,USA ,"8,8",85 275,12.0,32.0,17.0,aktorzy,"['Lęk pierwotny', 'Birdman czyli (Nieoczekiwane pożytki z niewiedzy)', 'Więzień nienawiści']","['Aaron Stampler / Roy', 'Derek Vinyard', 'Jack / Brian']","['Extrapolations', 'Kurier Francuski z Liberty, Kansas Evening Sun', 'Osierocony Brooklyn']"
29,Mel Gibson I,66.0,Nowy Jork,USA ,"8,4",45 362,14.0,25.0,96.0,scenarzyści,"['Waleczne Serce - Braveheart', 'Zabójcza broń 3', 'Co wiecie o swoich dziadkach?']","['William Wallace', 'Benjamin Martin', 'Jerry Fletcher']","['Agent Game', 'Hot Seat', 'Panama']"
30,Julianne Moore ,62.0,Karolina Północna,USA ,"8,1",56 262,39.0,51.0,75.0,aktorki,"['Motyl Still Alice', 'Godziny', 'Boogie Nights']","['Alice Howland', 'Laura Brown', 'Cathy Whitaker']","['When You Finish Saving the World', 'Kobieta w oknie', 'Historia Lisey']"
31,Bruce Willis I,67.0,RFN ,(obecnie Niemcy) ,"8,0",77 875,6.0,21.0,286.0,aktorzy,"['Armageddon', 'Na wariackich papierach', 'Kod Merkury']","['Malcolm Crowe', 'James Cole', 'Korben Dallas']","['McClane', 'Corrective Measures', 'Gasoline Alley']"
32,Robert De Niro ,79.0,Nowy Jork,USA ,"8,7",150 763,22.0,56.0,36.0,aktorzy,"['Taksówkarz', 'Wściekły Byk', 'Chłopcy z ferajny']","['Leonard Lowe', 'Travis Bickle', 'Jake La Motta']","['Killers of the Flower Moon', 'Untitled David O. Russell Project', 'Armageddon Time']"
33,Keanu Reeves ,58.0, Bejrut,Liban ,"8,2",71 494,5.0,24.0,214.0,aktorzy,"['Matrix', 'Speed: Niebezpieczna szybkość', 'Dom nad jeziorem']","['John Wick', 'Keanu Reeves', 'Kevin Lomax']","['Rain', 'John Wick: Chapter 4', 'BRZRKR']"
34,Bradley Cooper I,47.0,Pensylwania,USA ,"8,3",79 198,13.0,75.0,132.0,aktorzy,"['Poradnik pozytywnego myślenia', 'Narodziny gwiazdy', 'Snajper']","['Jack', 'Christopher Scott ""Chris"" Kyle', 'Eddie Morra']","['Atlantic Wall', 'Maestro', 'Zaułek koszmarów']"
35,Eddie Redmayne ,40.0,Anglia,Wielka Brytania ,"8,7",56 026,6.0,26.0,38.0,aktorzy,"['Teoria wszystkiego', 'Nędznicy', 'Jupiter: Intronizacja']","['Stephen Hawking', 'Einar Wegener / Lili Elbe', 'Jack']","[""Fantastyczne zwierzęta: Tajemnice Dumbledore'a"", 'Proces Siódemki z Chicago', 'The Aeronauts']"
36,Margot Robbie ,32.0, Gold Coast,Australia ,"8,6",72 325,8.0,41.0,5.0,aktorki,"['Legion samobójców', 'Jestem najlepsza. Ja, Tonya', 'Ptaki Nocy (i fantastyczna emancypacja pewnej Harley Quinn)']","['Tonya Harding', 'Naomi Lapaglia', 'Jess']","['Ruin', 'Barbie', 'Gotham City Sirens']"
37,Rachel McAdams ,44.0, London,Kanada ,"8,1",53 764,11.0,32.0,83.0,aktorki,"['Pamiętnik', 'Spotlight', 'Sherlock Holmes']","['Allie', 'Mary', 'Clare Abshire']","['Sherlock Holmes 3', 'Doktor Strange w multiwersum obłędu', 'Eurovision Song Contest: Historia zespołu Fire Saga']"
38,Maciej Stuhr ,47.0, Kraków,Polska ,"7,4",52 365,11.0,32.0,,,"['Pokłosie', 'Bad Boy', '33 sceny z życia']","['Alek Malinowski', 'Tomek Wilczyński', 'Paweł Zawadzki']","['Fucking Bornholm', 'Fuks 2', 'Szadź']"
39,Gary Oldman ,64.0,Anglia,Wielka Brytania ,"8,6",91 555,12.0,34.0,42,aktorzy,"['Czas mroku', 'Dracula', 'Szpieg']","['Norman Stansfield', 'Winston Churchill', 'Sid Vicious']","['Flying Horse', 'Oppenheimer', 'Kulawe konie']"
40,Adam Driver I,39.0,Kalifornia,USA ,"8,1",49 020,12.0,38.0,258,aktorzy,"['Historia małżeńska', 'Gwiezdne wojny: Przebudzenie Mocy', 'Paterson']","['Charlie Barber', 'Henry McHenry', 'Paterson']","['Enzo Ferrari', '65', 'White Noise']"
41,Nicolas Cage ,58.0,Kalifornia,USA ,"7,6",55 132,11.0,35.0,,,"['Zostawić Las Vegas', 'Twierdza', 'Bez twarzy']","['Ben Sanderson', 'Nick Cage / Nicky', 'Sailor Ripley']","['Renfield', 'Nieznośny ciężar wielkiego talentu', 'The Old Ways']"
42,Vin Diesel ,55.0,Nowy Jork,USA ,"8,2",42 519,3.0,24.0,178,aktorzy,"['Szybcy i wściekli', 'Szybcy i wściekli 6', 'Szeregowiec Ryan']","['Richard B. Riddick', 'Richard B. Riddick', 'Richard B. Riddick']","['Fast X', 'Riddick 4: Furya', 'Szybcy i wściekli 9']"
43,Kate Winslet ,47.0,Anglia,Wielka Brytania ,"8,6",64 746,27.0,65.0,6,aktorki,"['Lektor', 'Titanic 3D', 'Mare z Easttown']","['Detektyw Mare Sheehan', 'Hanna Schmitz', 'Myrtle ""Tilly"" Dunnage']","['Avatar 2', 'Lee', 'Mare z Easttown']"
44,Chris Hemsworth ,39.0, Melbourne,Australia ,"8,4",68 153,8.0,37.0,124,aktorzy,"['Avengers 3D', 'Avengers: Czas Ultrona', 'Avengers: Wojna bez granic']","['James Hunt', 'Tyler Rake']","['Furiosa', 'Thor: Miłość i grom', 'Extraction 2']"
45,Brad Pitt ,59.0,Oklahoma,USA ,"8,7",162 606,36.0,70.0,29,aktorzy,"['Wywiad z wampirem', 'Pan i pani Smith', 'Zniewolony. 12 Years a Slave']","['Tyler Durden', 'Jeffrey Goines', ""Mickey O'Neil""]","['Bullet Train', 'Zaginione miasto', 'Babylon']"
46,Tom Hiddleston ,41.0,Anglia,Wielka Brytania ,"8,5",62 635,6.0,13.0,50,aktorzy,"['Avengers 3D', 'Loki', 'Nocny recepcjonista']","['Adam', 'Jonathan Pine', 'Thomas Sharpe']","['The Essex Serpent', 'Loki', 'Avengers: Koniec gry']"
47,Ewan McGregor ,51.0,Szkocja,Wielka Brytania ,"8,3",60 084,10.0,31.0,154,aktorzy,"['Moulin Rouge!', 'Fargo', 'Autor widmo']","['Renton', 'Curt Wild', 'Christian']","['Everest', 'Obi-Wan Kenobi', 'Halston']"
48,Mark Wahlberg I,51.0,Massachusetts,USA ,"7,8",48 443,3.0,38.0,29,producenci,"['Infiltracja', 'Ted', 'Ocalony']","['Sierżant sztabowy Sean Dignam', 'David McCall', 'Bob Lee Swagger']","['Uncharted', 'Father Stu', 'W nieskończoność']"
49,Chris Evans V,41.0,Massachusetts,USA ,"8,4",77 589,5.0,38.0,109,aktorzy,"['Kapitan Ameryka: Wojna bohaterów', 'Avengers 3D', 'Avengers: Czas Ultrona']","['Bryce', 'Mike Weiss', 'Jimmy']","['Jekyll', 'Szary człowiek', 'Nie patrz w górę']"
50,Marcin Dorociński ,49.0, Milanówek,Polska ,"8,3",62 580,5.0,16.0,144,aktorzy,"['Róża', 'PitBull', 'Rewers']","['Podkomisarz Sławomir Desperski ""Despero""', 'Tadeusz', 'Andrzej']","['Niebezpieczni dżentelmeni', 'Czarny młyn', 'Teściowie']"
51,Jack Nicholson I,85.0,New Jersey,USA ,"9,0",74 644,48.0,42.0,2,aktorzy,"['Lepiej być nie może', 'Lśnienie', 'Infiltracja']","['Melvin Udall', ""J. J. 'Jake' Gittes"", 'Płk. Nathan R. Jessup']","['Skąd wiesz?', 'Choć goni nas czas', 'Infiltracja']"
52,Mads Mikkelsen ,57.0, Kopenhaga,Dania ,"8,7",48 358,7.0,21.0,37,aktorzy,"['Polowanie', 'Na rauszu', 'Hannibal']","['Lucas', 'Ivan', 'Martin']","['War Below Zero', 'Untitled Indiana Jones Project', ""Fantastyczne zwierzęta: Tajemnice Dumbledore'a""]"
53,Tom Hanks ,66.0,Kalifornia,USA ,"8,9",135 936,27.0,71.0,320,scenarzyści,"['Filadelfia', 'Forrest Gump', 'Apollo 13']","['Andrew Beckett', 'Kapitan John H. Miller', 'Kapitan Richard Phillips']","['Elvis', 'Pinocchio', 'Asteroid City']"
54,Anne Hathaway ,40.0,Nowy Jork,USA ,"8,1",58 655,17.0,41.0,69,aktorki,"['Nędznicy', 'Mroczny Rycerz powstaje', 'Miłość i inne używki']","['Emma Morley', 'Fantine', 'Maggie Murdock']","['Get Happy: The Life of Judy Garland', 'Sesame Street', 'She Came to Me']"
55,Ryan Gosling ,42.0, London,Kanada ,"8,2",72 094,11.0,54.0,176,aktorzy,"['Drive', 'La La Land', 'Nice Guys. Równi goście']","['Noah', 'Lars Lindstrom', 'Kierowca']","['Barbie', 'Szary człowiek', 'Pierwszy człowiek']"
56,Emma Watson II,32.0, Paryż,Francja ,"8,3",62 950,9.0,26.0,32,aktorki,"['Harry Potter i Insygnia Śmierci, cz.2', 'Harry Potter i Insygnia Śmierci: Część I', 'Piękna i Bestia']","['Sam', 'Pauline Fossil']","['Małe kobietki', 'Piękna i Bestia', 'The Circle. Krąg']"
57,Samuel L. Jackson ,74.0,Dystrykt Kolumbii,USA ,"8,4",143 299,7.0,31.0,114,aktorzy,"['Pulp Fiction', 'Django', 'Nienawistna ósemka']","['Major Marquis Warren', 'Trener Ken Carter', 'Darius Kincaid']","['The Marvels', 'Argylle', 'The Blob']"
58,Robert Pattinson ,36.0,Anglia,Wielka Brytania ,"8,1",48 177,23.0,22.0,268,aktorzy,"['Saga ""Zmierzch"": Zaćmienie', 'Saga ""Zmierzch"": Księżyc w nowiu', 'Saga ""Zmierzch"": Przed świtem. Część 2']","['Thomas Howard', 'Wielebny Preston Teagardin', 'Connie Nikas']","['Batman', 'Diabeł wcielony', 'Tenet']"
59,Christian Bale ,48.0,Walia,Wielka Brytania ,"8,8",106 862,22.0,47.0,23,aktorzy,"['Fighter', 'Mroczny Rycerz', 'Batman - Początek']","['Trevor Reznik', 'Dicky Eklund', 'Dick Cheney']","['Thor: Miłość i grom', 'The Pale Blue Eye', 'Untitled David O. Russell Project']"
